generation,mean_best_fitness,std_best_fitness,min_best_fitness,max_best_fitness,mean_population_fitness,mean_active_synapses
52,22.6,1.7126976771553506,21.0,27.0,-0.14978999570012091,50.119418716430665
53,22.6,1.7126976771553506,21.0,27.0,0.14809999875724317,50.63622894287109
54,22.6,1.7126976771553506,21.0,27.0,-0.08908000066876412,51.18026847839356
55,22.6,1.7126976771553506,21.0,27.0,-0.025460000429302455,51.67909812927246
56,22.6,1.7126976771553506,21.0,27.0,-0.07744999937713146,52.18912811279297
57,22.7,1.636391694484477,21.0,27.0,0.03907999396324158,52.692278671264646
58,22.7,1.636391694484477,21.0,27.0,0.04055000208318234,53.16600875854492
59,22.7,1.636391694484477,21.0,27.0,-0.059690000303089616,53.681379318237305
60,22.7,1.636391694484477,21.0,27.0,-0.02336999699473381,54.180108642578126
61,22.7,1.636391694484477,21.0,27.0,-0.15619999412447214,54.693158340454104
62,22.7,1.636391694484477,21.0,27.0,-0.06498000249266625,55.193399047851564
63,22.8,1.6193277068654823,21.0,27.0,-0.08572999725583941,55.669219207763675
64,22.8,1.6193277068654823,21.0,27.0,0.01905999956652522,56.1337890625
65,23.2,1.5491933384829668,21.0,27.0,-0.07836999665014446,56.59798812866211
66,23.2,1.5491933384829668,21.0,27.0,-0.07260000333189964,57.03755912780762
67,23.5,1.9578900207451218,21.0,27.0,0.012639999389648438,57.459289169311525
68,23.5,1.9578900207451218,21.0,27.0,0.03732999656349421,57.841858291625975
69,23.5,1.9578900207451218,21.0,27.0,-0.018830007314682005,58.27503890991211
70,23.5,1.9578900207451218,21.0,27.0,0.08915999811142683,58.687428665161136
71,23.5,1.9578900207451218,21.0,27.0,0.08458999767899514,59.06243782043457
72,23.5,1.9578900207451218,21.0,27.0,-0.09451999771408737,59.4755184173584
73,23.7,1.7669811040931427,22.0,27.0,0.019579999148845673,59.891748046875
74,23.7,1.7669811040931427,22.0,27.0,-0.020500002428889275,60.29096870422363
75,23.8,1.6865480854231356,23.0,27.0,0.13267999552190304,60.658698654174806
76,23.8,1.6865480854231356,23.0,27.0,0.027979996521025896,60.980428314208986
77,23.8,1.6865480854231356,23.0,27.0,-0.15192999579012395,61.34507865905762
78,23.8,1.6865480854231356,23.0,27.0,-0.03636999689042568,61.677377700805664
79,23.8,1.6865480854231356,23.0,27.0,0.2321999932639301,62.044958877563474
80,23.9,1.66332999331662,23.0,27.0,-0.12122999466955661,62.384378814697264
81,23.9,1.66332999331662,23.0,27.0,0.0633999988436699,62.76986885070801
82,23.9,1.66332999331662,23.0,27.0,-0.03259000070393085,63.09627838134766
83,23.9,1.66332999331662,23.0,27.0,-0.0599700016900897,63.39350776672363
84,23.9,1.66332999331662,23.0,27.0,-0.013679999113082885,63.7148983001709
85,23.9,1.66332999331662,23.0,27.0,-0.2194699921645224,63.99170837402344
86,23.9,1.66332999331662,23.0,27.0,-0.184139996021986,64.32079887390137
87,23.9,1.66332999331662,23.0,27.0,0.0012500016484409571,64.66111831665039
88,23.9,1.66332999331662,23.0,27.0,-0.19387000016868114,65.00028762817382
89,23.9,1.66332999331662,23.0,27.0,0.1805199973285198,65.28689727783203
90,23.9,1.66332999331662,23.0,27.0,-0.014250000193715095,65.57905883789063
91,24.1,1.66332999331662,23.0,27.0,-0.01943999473005533,65.8902084350586
92,24.1,1.66332999331662,23.0,27.0,0.05378999561071396,66.15882873535156
93,24.1,1.66332999331662,23.0,27.0,0.10535999909043312,66.4445785522461
94,24.1,1.66332999331662,23.0,27.0,-0.0005500015802681446,66.74022827148437
95,24.1,1.66332999331662,23.0,27.0,0.08160000368952751,67.00221786499023
96,24.1,1.66332999331662,23.0,27.0,0.1884499963372946,67.29588928222657
97,24.1,1.66332999331662,23.0,27.0,-0.09314999766647816,67.58989791870117
98,24.1,1.66332999331662,23.0,27.0,0.11673999689519406,67.8165382385254
99,24.1,1.66332999331662,23.0,27.0,-0.09639000073075295,68.14472808837891
100,24.1,1.66332999331662,23.0,27.0,0.08359999544918537,68.42004852294922
101,24.1,1.66332999331662,23.0,27.0,-0.13782999804243445,68.66493911743164
102,24.1,1.66332999331662,23.0,27.0,-0.012379997596144676,68.93815841674805
103,24.1,1.66332999331662,23.0,27.0,-0.09443999594077468,69.24250869750976
104,24.1,1.66332999331662,23.0,27.0,-0.0722299987450242,69.48451766967773
105,24.1,1.66332999331662,23.0,27.0,0.047089998982846736,69.72667846679687
106,24.1,1.66332999331662,23.0,27.0,0.035409997869282964,69.95853881835937
107,24.1,1.66332999331662,23.0,27.0,0.11173999258317054,70.20442733764648
108,24.1,1.66332999331662,23.0,27.0,0.03943000137805939,70.46092681884765
109,24.2,1.6193277068654826,23.0,27.0,-0.12091999687254429,70.69138870239257
110,24.2,1.6193277068654826,23.0,27.0,-0.041979997605085376,70.92451782226563
