world,policy,eval_seed,sensor_noise_std,steps,population_size,mean_fitness,best_fitness,mean_food_hits,mean_toxin_hits,survival_rate,cue_action_coverage,oracle_action_agreement,mean_action_magnitude
gauntlet,base_adapter,47,0.05,480,10000,1.1894999742507935,20.0,10.116199493408203,8.454599380493164,0.6631999611854553,1.0,0.6481141986159474,1.0
gauntlet,augmented_adapter,47,0.05,480,10000,1.1603999137878418,18.0,9.711999893188477,8.134599685668945,0.6597999930381775,1.0,0.6536282614508044,1.0
gauntlet,fixed_motor_argmax,43,0.15,480,10000,-0.25369998812675476,3.0,0.26080000400543213,0.4925999939441681,0.6962999701499939,0.013282151908673694,0.39290262731718056,0.013441158854166666
gauntlet,base_adapter,43,0.15,480,10000,1.1862000226974487,23.0,15.568199157714844,13.877799987792969,0.6344000101089478,1.0,0.6133660852957139,1.0
gauntlet,augmented_adapter,43,0.15,480,10000,1.2215999364852905,20.0,15.378399848937988,13.62559986114502,0.6334999799728394,1.0,0.6237151873262453,1.0
gauntlet,fixed_motor_argmax,44,0.15,480,10000,-0.3878999948501587,4.0,0.2798999845981598,0.6496999859809875,0.6125999689102173,0.015496747236638925,0.40957231789150295,0.015710480143229167
gauntlet,base_adapter,44,0.15,480,10000,0.9423999786376953,21.0,16.891698837280273,15.377899169921875,0.6054999828338623,1.0,0.6138776842226351,1.0
gauntlet,augmented_adapter,44,0.15,480,10000,1.2824000120162964,23.0,15.771599769592285,13.964599609375,0.6319000124931335,1.0,0.6247935010694076,1.0
gauntlet,fixed_motor_argmax,45,0.15,480,10000,-0.3269999921321869,4.0,0.33719998598098755,0.6444000005722046,0.6322000026702881,0.017651997102957943,0.41346927189288923,0.01788849609375
gauntlet,base_adapter,45,0.15,480,10000,1.0252000093460083,23.0,16.166500091552734,14.589200019836426,0.615399956703186,1.0,0.611941219282223,1.0
gauntlet,augmented_adapter,45,0.15,480,10000,1.4715999364852905,21.0,16.27229881286621,14.265199661254883,0.6430999636650085,1.0,0.6224591984690425,1.0
gauntlet,fixed_motor_argmax,46,0.15,480,10000,-0.5356000065803528,5.0,0.5363999605178833,1.0348999500274658,0.5288999676704407,0.020200554854096667,0.4018206805335979,0.020509777018229168
gauntlet,base_adapter,46,0.15,480,10000,1.0267999172210693,24.0,16.430099487304688,14.855299949645996,0.6121000051498413,1.0,0.616868806622302,1.0
gauntlet,augmented_adapter,46,0.15,480,10000,1.1586999893188477,24.0,17.298500061035156,15.661499977111816,0.616599977016449,1.0,0.6244929014010895,1.0
gauntlet,fixed_motor_argmax,47,0.15,480,10000,-0.10080000013113022,4.0,0.39100000262260437,0.4797999858856201,0.7235999703407288,0.013369216802969972,0.3862663625855228,0.013556209309895833
gauntlet,base_adapter,47,0.15,480,10000,1.0174999237060547,20.0,13.365900039672852,11.786299705505371,0.6280999779701233,1.0,0.6155521099051334,1.0
gauntlet,augmented_adapter,47,0.15,480,10000,1.656999945640564,19.0,12.019099235534668,9.876199722290039,0.6841999888420105,1.0,0.6252579939838397,1.0
