world,group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
simple,gentle_ltw_scheduled,32,20,256,42,65,18.0,20.0,18.0,-0.13809999823570251,-0.13809999823570251,68.01229858398438,0.26567304134368896,0.26465801589947535,51.367000579833984,0.7542006969451904,0.13747741281986237,9553,6674,4132,338622
simple,gentle_ltw_scheduled,32,20,256,42,66,17.0,20.0,17.0,-0.536300003528595,-0.536300003528595,68.2313003540039,0.26652851700782776,0.24915251375540312,51.48849868774414,0.7536277174949646,0.1366209089756012,9479,6870,4269,339852
simple,gentle_ltw_scheduled,32,20,256,42,67,21.0,21.0,21.0,0.20679999887943268,0.20679999887943268,68.39360046386719,0.2671625018119812,0.30704627125303113,51.61800003051758,0.7537996172904968,0.13598759472370148,9546,6916,4339,340653
simple,gentle_ltw_scheduled,32,20,256,42,68,19.0,21.0,19.0,-0.22280000150203705,-0.22280000150203705,68.66289520263672,0.2682144343852997,0.2767142274430395,51.84700012207031,0.7542287707328796,0.13531582057476044,9609,7338,4541,342179
simple,gentle_ltw_scheduled,32,20,256,42,69,18.0,21.0,18.0,-0.31360000371932983,-0.31360000371932983,68.81969451904297,0.2688269317150116,0.2615530354471314,51.95539855957031,0.7541195750236511,0.13459300994873047,9472,7109,4454,342917
simple,gentle_ltw_scheduled,32,20,256,42,70,16.0,21.0,16.0,-0.5447999835014343,-0.5447999835014343,69.02909851074219,0.26964491605758667,0.2317863096170973,52.210899353027344,0.7555670142173767,0.13363681733608246,9483,7536,4649,344172
simple,gentle_ltw_scheduled,32,20,256,42,71,19.0,21.0,19.0,-0.37709999084472656,-0.37709999084472656,69.23619842529297,0.27045390009880066,0.2744229237326096,52.378299713134766,0.7557968497276306,0.13281361758708954,9487,7533,4663,345204
simple,gentle_ltw_scheduled,32,20,256,42,72,17.0,21.0,17.0,0.023399999365210533,0.023399999365210533,69.46179962158203,0.2713351547718048,0.24473883620369144,52.65449905395508,0.7573834657669067,0.13190792500972748,9587,7709,4787,346370
simple,gentle_ltw_scheduled,32,20,256,42,73,17.0,21.0,17.0,-0.3490999937057495,-0.3490999937057495,69.63890075683594,0.2720269560813904,0.24411643227052568,52.82389831542969,0.757914125919342,0.13091914355754852,9400,7605,4705,347297
simple,gentle_ltw_scheduled,32,20,256,42,74,18.0,21.0,18.0,-0.2831999957561493,-0.2831999957561493,69.68809509277344,0.27221912145614624,0.2582937584394752,52.85960006713867,0.7579329013824463,0.13036508858203888,9167,7752,4743,347733
simple,gentle_ltw_scheduled,32,20,256,42,75,17.0,21.0,17.0,0.14000000059604645,0.14000000059604645,69.86730194091797,0.2729191482067108,0.2433183982741418,52.99009704589844,0.7578750848770142,0.12969817221164703,9413,7922,4824,348591
simple,gentle_ltw_scheduled,32,20,256,42,76,18.0,21.0,18.0,0.06229999661445618,0.06229999661445618,70.02790069580078,0.2735464870929718,0.2570404056262016,53.17559814453125,0.7588149905204773,0.1287853717803955,9390,8045,5065,349467
simple,gentle_ltw_scheduled,32,20,256,42,77,17.0,21.0,17.0,-0.2320999950170517,-0.2320999950170517,70.24250030517578,0.2743847668170929,0.242018719808403,53.373497009277344,0.7593545913696289,0.12811745703220367,9326,7941,4916,350520
simple,gentle_ltw_scheduled,32,20,256,42,78,17.0,21.0,17.0,0.015399999916553497,0.015399999916553497,70.4811019897461,0.2753168046474457,0.24119940693426212,53.64799880981445,0.7607405781745911,0.12768417596817017,9304,8133,4922,351820
simple,gentle_ltw_scheduled,32,20,256,42,79,19.0,21.0,19.0,0.16369999945163727,0.16369999945163727,70.55919647216797,0.27562186121940613,0.2692774429126973,53.72939682006836,0.7610371708869934,0.12753380835056305,9352,8076,4961,352158
simple,gentle_ltw_scheduled,32,20,256,42,80,19.0,21.0,19.0,-0.3149999976158142,-0.3149999976158142,70.64199829101562,0.2759453058242798,0.26896181393012003,53.83250045776367,0.7615818381309509,0.12682723999023438,9254,8170,4949,352668
simple,gentle_ltw_scheduled,32,20,256,42,81,18.0,21.0,18.0,0.2320999950170517,0.2320999950170517,70.78359985351562,0.2764984369277954,0.25429619342969867,53.97249984741211,0.7620737552642822,0.12618985772132874,9391,8167,4974,353306
simple,gentle_ltw_scheduled,32,20,256,42,82,17.0,21.0,17.0,-0.46939998865127563,-0.46939998865127563,70.91459655761719,0.27701014280319214,0.23972497659473704,54.093196868896484,0.7623826265335083,0.12584809958934784,9148,8250,5086,354124
simple,gentle_ltw_scheduled,32,20,256,42,83,18.0,21.0,18.0,-0.3285999894142151,-0.3285999894142151,70.97509765625,0.27724647521972656,0.2536100772580612,54.141998291015625,0.7624315023422241,0.12519244849681854,9186,8369,5090,354467
simple,gentle_ltw_scheduled,32,20,256,42,84,16.0,21.0,16.0,-0.31779998540878296,-0.31779998540878296,71.0541000366211,0.27755507826805115,0.22518053133814436,54.234397888183594,0.7628583908081055,0.12424375861883163,9306,8209,4926,354722
simple,gentle_ltw_scheduled,32,20,256,42,85,18.0,21.0,18.0,-0.4658999741077423,-0.4658999741077423,71.21189880371094,0.27817147970199585,0.2527667468833453,54.368797302246094,0.7630855441093445,0.12374384701251984,9465,8190,4973,355422
simple,gentle_ltw_scheduled,32,20,256,42,86,20.0,21.0,20.0,0.08940000087022781,0.08940000087022781,71.22930145263672,0.2782394587993622,0.2807833236059295,54.425296783447266,0.7637003660202026,0.12309812009334564,9250,8167,4900,355605
simple,gentle_ltw_scheduled,32,20,256,42,87,18.0,21.0,18.0,-0.08299999684095383,-0.08299999684095383,71.35569763183594,0.27873319387435913,0.2522573613234376,54.543800354003906,0.764039933681488,0.12263288348913193,9403,8282,4975,356218
simple,gentle_ltw_scheduled,32,20,256,42,88,18.0,21.0,18.0,-0.32829999923706055,-0.32829999923706055,71.51129913330078,0.2793410122394562,0.25170847429924414,54.70439910888672,0.7645977139472961,0.12206220626831055,9252,8159,4900,357010
simple,gentle_ltw_scheduled,32,20,256,42,89,17.0,21.0,17.0,-0.46149998903274536,-0.46149998903274536,71.65709686279297,0.27991053462028503,0.23724098162323168,54.91600036621094,0.7659525275230408,0.12127318978309631,9338,8371,5042,357802
simple,gentle_ltw_scheduled,32,20,256,42,90,17.0,21.0,17.0,-0.3238999843597412,-0.3238999843597412,71.67129516601562,0.27996599674224854,0.23719398345770218,54.943199157714844,0.7661694288253784,0.12094537913799286,9426,8383,5059,357835
simple,gentle_ltw_scheduled,32,20,256,42,91,17.0,21.0,17.0,-0.17409999668598175,-0.17409999668598175,71.79759979248047,0.28045937418937683,0.2367767174548424,55.08789825439453,0.7668198943138123,0.12025492638349533,9134,8320,5009,358581
simple,gentle_ltw_scheduled,32,20,256,42,92,19.0,21.0,19.0,-0.31119999289512634,-0.31119999289512634,71.94850158691406,0.28104883432388306,0.2640777720304283,55.28179931640625,0.7679187059402466,0.11914072185754776,9367,8316,5010,359217
simple,gentle_ltw_scheduled,32,20,256,42,93,19.0,21.0,19.0,0.2150999903678894,0.2150999903678894,71.9762954711914,0.28115740418434143,0.2639757975263505,55.328399658203125,0.768248975276947,0.11880499869585037,9454,8431,5035,359370
simple,gentle_ltw_scheduled,32,20,256,42,94,18.0,21.0,18.0,-0.40699997544288635,-0.40699997544288635,72.02769470214844,0.28135818243026733,0.24990387481418447,55.437599182128906,0.7692242860794067,0.11843235790729523,9474,8365,5017,359584
simple,gentle_ltw_scheduled,32,20,256,42,95,20.0,21.0,20.0,0.09459999948740005,0.09459999948740005,72.0824966430664,0.28157225251197815,0.2774598679487303,55.51389694213867,0.7696923613548279,0.11769431084394455,8957,8366,4966,360117
simple,gentle_ltw_scheduled,32,20,256,42,96,16.0,21.0,16.0,-0.012399999424815178,-0.012399999424815178,72.20320129394531,0.2820437550544739,0.22159682276222978,55.63589859008789,0.7700832486152649,0.11716704815626144,9151,8465,5033,360673
simple,gentle_ltw_scheduled,32,20,256,42,97,19.0,21.0,19.0,-0.30859997868537903,-0.30859997868537903,72.26470184326172,0.2822839915752411,0.26292227761777787,55.70219802856445,0.7703543901443481,0.11692745983600616,9182,8357,4996,360911
simple,gentle_ltw_scheduled,32,20,256,42,98,18.0,21.0,18.0,-0.045899998396635056,-0.045899998396635056,72.32339477539062,0.28251326084136963,0.24888212252620687,55.83300018310547,0.771532416343689,0.11644542962312698,9447,8361,4948,361074
simple,gentle_ltw_scheduled,32,20,256,42,99,15.0,21.0,15.0,-0.5022000074386597,-0.5022000074386597,72.37269592285156,0.2827058434486389,0.20726048420235474,55.93649673461914,0.772433876991272,0.11575014144182205,9102,8475,5093,361550
simple,gentle_ltw_scheduled,32,20,256,42,100,16.0,21.0,16.0,-0.5819999575614929,-0.5819999575614929,72.42259979248047,0.28290078043937683,0.2209255128350316,56.006099700927734,0.7729153633117676,0.11556737869977951,9052,8294,4835,361734
simple,gentle_ltw_scheduled,32,20,256,42,101,17.0,21.0,17.0,-0.28049999475479126,-0.28049999475479126,72.44709777832031,0.2829964756965637,0.23465398230330803,56.025299072265625,0.7729365229606628,0.11543356627225876,9384,8367,4955,361727
simple,gentle_ltw_scheduled,32,20,256,42,102,16.0,21.0,16.0,-0.4275999963283539,-0.4275999963283539,72.51909637451172,0.2832777202129364,0.22063154120634518,56.16510009765625,0.7740719318389893,0.11505966633558273,9370,8391,5031,362106
simple,gentle_ltw_scheduled,32,20,256,42,103,18.0,21.0,18.0,-0.06119999662041664,-0.06119999662041664,72.6801986694336,0.283907026052475,0.24766030266191452,56.267398834228516,0.7737327814102173,0.11438503116369247,9318,8412,5022,362948
simple,gentle_ltw_scheduled,32,20,256,42,104,17.0,21.0,17.0,-0.44909998774528503,-0.44909998774528503,72.71810150146484,0.28405508399009705,0.23377948061058154,56.36649703979492,0.7746421694755554,0.1137445792555809,9222,8495,5081,363227
